year,importer1,importer2,flow1,flow2
2000,All Other Trade,All Other Trade,3646.69,5824.9
2000,All Other Trade,All Other Trade,3764.2,5604.69
2000,All Other Trade,All Other Trade,3415.87,5801.07
2000,All Other Trade,All Other Trade,5325.273,3611.61
2000,All Other Trade,All Other Trade,7639.17,1210.92
2000,All Other Trade,All Other Trade,4677.31,4116.44
2000,All Other Trade,All Other Trade,5958.7,2829.56
2000,All Other Trade,All Other Trade,5567.96,3189.98
2000,All Other Trade,All Other Trade,4450.55,4274.74
2000,All Other Trade,All Other Trade,3722.87,4821.84
2000,All Other Trade,All Other Trade,4877.96,3663.2
2000,All Other Trade,All Other Trade,4862.94,3573.04
2000,All Other Trade,All Other Trade,5965.98,2364.41
2000,All Other Trade,All Other Trade,2291.17,5968.24
2000,All Other Trade,All Other Trade,3187.63,5014.11
2000,All Other Trade,All Other Trade,3316.4,4822.49
2000,All Other Trade,All Other Trade,4046.9,4056.42
2000,All Other Trade,All Other Trade,5772.4,2175.89
2000,All Other Trade,All Other Trade,5307.39,2575.7
2000,All Other Trade,All Other Trade,6466.08,1377.45
2000,All Other Trade,All Other Trade,4316.8,3490.28
2000,All Other Trade,All Other Trade,3564.05,4235.52
2000,All Other Trade,All Other Trade,6334.26,1349.18
2000,All Other Trade,All Other Trade,3636.98,3846.28
2000,All Other Trade,All Other Trade,5286.94,2082.57
2000,All Other Trade,All Other Trade,4391.76,2901.98
2000,All Other Trade,All Other Trade,3241.2,3913.24
2000,All Other Trade,All Other Trade,4933.792,2087.287
2000,All Other Trade,All Other Trade,5144.74,1828.98
2000,All Other Trade,All Other Trade,2262.54,4674.03
2000,All Other Trade,All Other Trade,5858.12,1041.45
2000,All Other Trade,All Other Trade,3601.8,3296.61
2000,All Other Trade,All Other Trade,951.36,5905.23
2000,All Other Trade,All Other Trade,2855.19,3936.18
2000,All Other Trade,All Other Trade,2390.62,4328.63
2000,All Other Trade,All Other Trade,4007.68,2698.77
2000,All Other Trade,All Other Trade,3152.25,3520.65
2000,All Other Trade,All Other Trade,3593.755,3035.569
